Customer_ID,Age,Gender,Account_Age_Months,Contract_Type,Internet_Service,Phone_Service,Streaming_Service,Monthly_Charges,Total_Charges,Monthly_Usage_GB,Number_of_Sessions,Support_Calls,Complaints,Payment_Method,Payment_Delay_Rate,Usage_Change_Percentage,Churn
CUST-10050,62,Female,9,Month-to-month,Cable,Yes,Yes,56.61,416.59,67.82,15,1,2,Bank transfer,0.2261,-1.05,No
CUST-10051,29,Female,17,Month-to-month,Cable,Yes,No,62.6,1135.71,50.08,9,3,0,Credit card,0.3559,2.43,Yes
CUST-10052,39,Female,42,One year,DSL,Yes,No,44.01,1797.67,91.15,23,2,0,Credit card,0.0278,-0.71,No
CUST-10053,45,Female,57,Month-to-month,DSL,Yes,Yes,60.11,3444.41,74.85,22,1,0,Credit card,0.1211,-11.49,No
CUST-10054,46,Male,50,Two year,Cable,Yes,Yes,73.58,3728.18,48.24,22,1,0,Credit card,0.1004,-5.69,No
CUST-10055,20,Female,56,Month-to-month,Cable,Yes,No,58.34,3159.24,67.21,20,2,0,Electronic check,0.0852,-7.32,No
CUST-10056,49,Male,52,Month-to-month,Cable,No,Yes,58.54,3107.09,15.86,22,2,1,Mailed check,0.1393,9.56,No
CUST-10057,26,Male,28,Month-to-month,Cable,No,No,59.95,1697.23,72.84,25,2,0,Credit card,0.1825,-10.79,No
CUST-10058,61,Male,65,One year,Cable,Yes,Yes,68.24,4445.41,133.69,19,2,0,Electronic check,0.0903,-4.63,No
CUST-10059,57,Male,13,Two year,Fiber optic,No,Yes,69.2,798.29,92.79,13,2,2,Electronic check,0.2705,2.32,Yes
CUST-10060,71,Female,51,Two year,Fiber optic,Yes,No,58.92,3113.46,62.49,16,3,0,Bank transfer,0.222,-16.29,No
CUST-10061,61,Female,8,Month-to-month,None,Yes,No,36.17,91.89,72.49,19,0,0,Mailed check,0.2715,-3.47,No
CUST-10062,39,Female,56,Two year,DSL,Yes,Yes,63.89,3560.67,79.58,13,0,1,Credit card,0.091,2.28,No
CUST-10063,74,Female,7,Month-to-month,Fiber optic,Yes,Yes,89.46,523.7,81.13,19,2,2,Electronic check,0.1242,3.85,No
CUST-10064,41,Female,16,One year,DSL,Yes,No,39.06,573.3,63.69,25,3,0,Credit card,0.1526,6.06,No
CUST-10065,36,Male,29,Two year,DSL,Yes,No,53.14,1370.78,14.17,15,1,0,Electronic check,0.2531,-7.28,No
CUST-10066,70,Male,51,Month-to-month,Cable,Yes,Yes,71.82,3576.27,58.08,21,0,0,Electronic check,0.1881,-11.26,No
CUST-10067,39,Male,4,Two year,Cable,Yes,Yes,64.04,121.58,52.11,22,3,0,Credit card,0.0645,-3.75,No
CUST-10068,22,Female,19,Month-to-month,Fiber optic,Yes,No,81.62,1369.48,64.05,14,3,0,Electronic check,0.0973,4.19,Yes
CUST-10069,45,Other,25,Month-to-month,DSL,Yes,Yes,53.13,1390.03,48.44,13,1,0,Bank transfer,0.012,-1.62,No
CUST-10070,64,Male,53,Month-to-month,Fiber optic,Yes,Yes,91.82,4778.91,80.99,19,2,0,Electronic check,0.1652,-11.54,No
CUST-10071,28,Female,70,Two year,Cable,No,Yes,59.97,4171.29,115.09,19,1,0,Electronic check,0.3439,28.44,No
CUST-10072,44,Female,45,Month-to-month,Fiber optic,Yes,Yes,84.39,3838.95,89.84,16,1,1,Electronic check,0.3784,-7.62,No
CUST-10073,25,Female,37,One year,DSL,Yes,No,47.15,1776.59,64.76,22,5,0,Electronic check,0.0731,-14.05,No
CUST-10074,57,Female,25,Month-to-month,DSL,Yes,Yes,48.26,1186.87,102.76,24,1,0,Bank transfer,0.092,-6.46,No
CUST-10075,45,Female,60,One year,DSL,No,No,41.28,2392.09,89.05,19,0,1,Mailed check,0.0439,12.36,No
CUST-10076,37,Female,8,Month-to-month,DSL,Yes,Yes,63.53,458.93,83.9,12,0,0,Electronic check,0.1141,8.83,No
CUST-10077,31,Female,10,Month-to-month,Cable,Yes,Yes,63.21,652.63,52.65,21,0,3,Mailed check,0.2058,23.41,No
CUST-10078,50,Male,15,One year,DSL,Yes,No,48.04,844.66,62.9,21,2,0,Credit card,0.2396,-10.14,No
CUST-10079,56,Female,20,One year,Fiber optic,Yes,No,70.58,1130.57,80.42,14,2,0,Electronic check,0.2575,-1.63,No
CUST-10080,72,Male,34,Month-to-month,Fiber optic,Yes,Yes,68.37,2369.71,118.14,25,1,2,Electronic check,0.1494,14.16,No
CUST-10081,43,Female,69,Month-to-month,DSL,Yes,Yes,57.01,3789.1,100.88,21,2,0,Electronic check,0.1863,-10.59,No
CUST-10082,27,Male,47,Month-to-month,Fiber optic,Yes,No,71.47,3295.07,80.6,23,0,0,Credit card,0.048,15.91,No
CUST-10083,66,Male,28,Two year,Cable,Yes,No,54.29,1492.27,70.24,27,3,0,Credit card,0.1187,2.42,No
CUST-10084,54,Male,16,One year,Fiber optic,No,No,70.68,1115.49,84.69,19,0,1,Electronic check,0.1575,-7.58,No
CUST-10085,58,Male,47,One year,Cable,Yes,No,59.58,2722.67,79.21,23,2,0,Electronic check,0.4702,-18.59,No
CUST-10086,23,Male,19,One year,Fiber optic,No,Yes,56.07,1201.12,103.16,18,4,0,Electronic check,0.0503,8.27,No
CUST-10087,36,Male,71,Two year,Cable,Yes,No,54.42,3929.59,40.12,20,0,0,Credit card,0.2052,19.72,No
CUST-10088,62,Male,35,Month-to-month,Fiber optic,Yes,Yes,74.14,2537.96,67.21,12,1,0,Electronic check,0.0701,6.08,No
CUST-10089,66,Male,40,Month-to-month,DSL,Yes,Yes,53.0,2307.24,84.61,22,5,0,Bank transfer,0.1938,6.76,No
CUST-10090,43,Female,66,One year,Fiber optic,Yes,No,80.76,5242.3,100.61,25,1,0,Credit card,0.0073,5.16,No
CUST-10091,64,Female,22,Month-to-month,DSL,Yes,Yes,63.37,1298.6,113.28,15,1,0,Credit card,0.2526,13.07,No
CUST-10092,66,Female,34,Month-to-month,Fiber optic,Yes,Yes,76.33,2605.15,31.44,10,0,0,Electronic check,0.138,16.72,No
CUST-10093,40,Male,39,One year,Cable,Yes,Yes,63.71,2412.35,49.21,21,1,0,Bank transfer,0.355,-32.61,No
CUST-10094,70,Male,20,Two year,DSL,Yes,No,47.77,1000.35,64.78,16,1,1,Bank transfer,0.1099,-1.84,No
CUST-10095,34,Female,4,One year,None,Yes,No,31.91,89.05,36.71,31,2,1,Credit card,0.0056,-5.42,No
CUST-10096,31,Male,21,Month-to-month,Cable,Yes,No,53.12,1152.31,106.45,20,0,1,Bank transfer,0.2142,4.26,No
CUST-10097,57,Male,9,Two year,DSL,Yes,Yes,62.54,452.31,69.45,26,2,0,Bank transfer,0.0426,-2.76,No
CUST-10098,54,Female,49,Month-to-month,Cable,Yes,Yes,52.55,2788.85,94.64,17,1,1,Electronic check,0.0492,7.34,No
CUST-10099,26,Female,1,Month-to-month,Fiber optic,Yes,No,73.63,73.63,62.23,23,2,0,Credit card,0.0235,6.01,No
CUST-10100,66,Male,23,Two year,DSL,Yes,No,39.32,1073.27,76.28,20,3,0,Credit card,0.302,-20.99,No
CUST-10101,29,Female,64,One year,DSL,No,No,45.58,2751.97,33.75,18,2,2,Credit card,0.431,-24.12,No
CUST-10102,64,Male,41,Two year,Cable,Yes,Yes,74.46,3265.55,41.07,19,0,0,Credit card,0.0733,11.08,No
CUST-10103,18,Female,49,One year,Fiber optic,No,Yes,63.71,3103.43,41.52,31,2,0,Mailed check,0.3786,-7.97,No
CUST-10104,64,Male,49,One year,DSL,Yes,Yes,53.88,2608.84,25.38,17,2,0,Mailed check,0.1369,22.62,No
CUST-10105,63,Male,22,Month-to-month,Cable,Yes,No,64.82,1119.5,91.11,19,1,0,Electronic check,0.5149,12.23,No
CUST-10106,63,Female,46,Month-to-month,DSL,Yes,No,47.81,2036.74,66.13,16,2,0,Electronic check,0.494,-19.45,No
CUST-10107,56,Male,16,Two year,Fiber optic,Yes,No,64.53,913.18,91.86,20,3,2,Mailed check,0.1911,-7.57,No
CUST-10108,45,Female,46,Two year,DSL,Yes,Yes,53.93,2342.52,63.69,22,0,0,Credit card,0.0445,4.88,No
CUST-10109,58,Male,50,Month-to-month,Cable,Yes,Yes,83.92,4266.09,93.51,16,2,1,Mailed check,0.4626,-3.35,No
CUST-10110,34,Female,64,Month-to-month,Fiber optic,No,No,58.53,3687.94,89.35,15,5,0,Bank transfer,0.184,-0.08,No
CUST-10111,63,Female,67,Month-to-month,Fiber optic,Yes,Yes,82.55,5525.54,63.54,20,4,0,Mailed check,0.2413,-11.3,No
CUST-10112,50,Female,2,Month-to-month,None,Yes,No,40.56,99.65,71.23,12,1,1,Electronic check,0.0428,6.15,No
CUST-10113,44,Female,22,Two year,None,Yes,No,46.95,644.58,74.93,15,1,0,Bank transfer,0.0582,2.24,No
CUST-10114,47,Male,40,Month-to-month,Fiber optic,Yes,Yes,92.52,3659.62,93.24,23,1,1,Bank transfer,0.042,11.07,No
CUST-10115,50,Female,24,Month-to-month,DSL,Yes,Yes,45.83,1341.61,65.69,16,1,1,Electronic check,0.0424,1.42,Yes
CUST-10116,20,Male,45,Two year,Fiber optic,Yes,Yes,89.16,4134.87,75.04,17,3,0,Electronic check,0.099,-5.54,No
CUST-10117,26,Female,62,Month-to-month,None,Yes,No,36.98,2343.81,31.04,16,2,0,Electronic check,0.0626,3.64,Yes
CUST-10118,32,Female,19,Month-to-month,DSL,Yes,Yes,51.81,994.93,45.31,26,3,1,Electronic check,0.1486,6.35,No
CUST-10119,24,Female,65,Month-to-month,DSL,Yes,Yes,65.85,4445.35,48.84,15,3,0,Mailed check,0.4248,2.02,No
CUST-10120,43,Female,64,Month-to-month,Fiber optic,Yes,Yes,72.68,4717.18,78.86,21,0,0,Mailed check,0.0241,16.74,No
CUST-10121,56,Female,66,Month-to-month,DSL,Yes,No,59.06,3873.54,49.56,25,2,3,Mailed check,0.0586,-11.03,No
CUST-10122,55,Male,6,Month-to-month,Fiber optic,No,No,59.33,393.6,69.18,27,1,0,Mailed check,0.0528,12.9,No
CUST-10123,45,Female,22,Month-to-month,Cable,Yes,No,65.54,1533.8,62.5,15,1,0,Credit card,0.057,-12.63,No
CUST-10124,67,Female,9,Month-to-month,DSL,Yes,No,55.19,642.45,66.51,21,0,0,Mailed check,0.0754,9.84,No
CUST-10125,50,Male,9,Month-to-month,DSL,No,Yes,42.55,209.1,87.27,14,4,1,Electronic check,0.1272,-22.66,No
CUST-10126,22,Female,4,Month-to-month,Cable,Yes,Yes,57.13,238.88,70.37,15,1,0,Electronic check,0.0702,-1.59,No
CUST-10127,62,Male,32,Two year,Fiber optic,Yes,No,71.18,2389.02,60.43,18,1,1,Mailed check,0.075,13.44,No
CUST-10128,51,Male,7,Month-to-month,Fiber optic,Yes,No,66.6,390.99,76.1,16,4,0,Bank transfer,0.1199,-2.97,Yes
CUST-10129,54,Male,22,Month-to-month,DSL,Yes,No,54.64,1173.56,105.2,12,1,0,Credit card,0.1655,0.75,No
CUST-10130,50,Male,71,Two year,Cable,Yes,Yes,65.36,4832.83,67.68,21,1,0,Bank transfer,0.2569,5.16,No
CUST-10131,50,Female,64,Month-to-month,Fiber optic,Yes,No,63.92,4114.04,35.63,25,1,0,Electronic check,0.144,-26.05,No
CUST-10132,23,Female,68,Month-to-month,Cable,Yes,Yes,69.42,4625.78,33.43,18,2,0,Electronic check,0.4742,5.38,No
CUST-10133,50,Female,3,Two year,DSL,Yes,No,35.48,35.48,58.27,21,0,2,Credit card,0.3466,-9.65,No
CUST-10134,64,Female,48,Month-to-month,DSL,Yes,No,40.7,1935.23,37.63,19,2,1,Bank transfer,0.256,13.07,No
CUST-10135,35,Male,46,Month-to-month,DSL,Yes,No,42.74,1890.57,7.59,17,2,0,Bank transfer,0.2521,0.51,No
CUST-10136,52,Male,10,One year,Fiber optic,Yes,No,53.23,678.55,57.98,14,2,0,Credit card,0.0041,4.92,No
CUST-10137,19,Male,66,One year,Fiber optic,Yes,No,72.54,4694.13,74.14,16,2,0,Bank transfer,0.216,-12.66,No
CUST-10138,38,Female,30,Month-to-month,Cable,Yes,No,52.02,1663.01,98.21,24,2,0,Bank transfer,0.3716,11.15,No
CUST-10139,43,Male,71,Month-to-month,DSL,Yes,No,51.65,3659.56,64.58,18,2,1,Credit card,0.1467,1.16,No
CUST-10140,74,Female,9,Month-to-month,DSL,Yes,Yes,64.22,518.28,72.44,22,3,0,Bank transfer,0.2035,-16.62,Yes
CUST-10141,30,Female,47,Two year,None,Yes,Yes,53.87,2492.43,77.38,18,0,0,Mailed check,0.026,-4.69,No
CUST-10142,34,Female,10,Month-to-month,Fiber optic,Yes,No,75.59,901.71,66.99,20,1,1,Bank transfer,0.0141,9.45,No
CUST-10143,41,Female,69,Month-to-month,DSL,Yes,No,38.78,2766.2,48.98,17,4,0,Mailed check,0.0972,2.99,Yes
CUST-10144,75,Male,44,Month-to-month,Fiber optic,Yes,No,63.68,2824.04,117.11,20,1,0,Credit card,0.0331,9.89,No
CUST-10145,67,Female,6,Two year,Fiber optic,Yes,Yes,66.83,323.61,41.28,19,1,1,Mailed check,0.1007,-3.0,No
CUST-10146,20,Female,16,Month-to-month,None,Yes,Yes,38.58,701.43,74.99,17,0,1,Credit card,0.0448,15.89,No
CUST-10147,31,Female,26,Month-to-month,None,Yes,Yes,55.26,1446.88,46.28,18,5,2,Bank transfer,0.3881,18.27,No
CUST-10148,65,Female,1,Month-to-month,Fiber optic,Yes,No,72.09,72.09,67.71,15,0,0,Bank transfer,0.0465,-19.7,No
CUST-10149,21,Female,1,One year,None,No,Yes,43.96,43.96,74.83,17,2,0,Bank transfer,0.1071,8.42,No
CUST-10150,67,Other,67,Month-to-month,Fiber optic,Yes,Yes,69.65,4594.28,60.15,15,3,0,Electronic check,0.6686,19.51,No
CUST-10151,34,Male,71,Two year,None,Yes,Yes,43.56,2959.73,35.88,16,5,0,Electronic check,0.0902,7.09,No
CUST-10152,71,Female,39,Month-to-month,Cable,Yes,No,62.18,2322.62,56.66,20,2,0,Electronic check,0.1511,0.85,No
CUST-10153,35,Female,65,Month-to-month,Fiber optic,Yes,Yes,71.95,4996.91,91.98,14,1,0,Credit card,0.095,-14.55,No
CUST-10154,43,Male,48,Month-to-month,DSL,Yes,No,48.43,2101.26,28.95,15,4,1,Electronic check,0.0944,-2.38,No
CUST-10155,56,Female,3,Month-to-month,Cable,Yes,Yes,73.62,324.0,104.14,22,1,0,Bank transfer,0.1606,-4.76,No
CUST-10156,25,Male,52,Month-to-month,Fiber optic,Yes,Yes,86.01,4528.74,67.28,20,2,1,Electronic check,0.1277,11.92,No
CUST-10157,50,Female,2,One year,Fiber optic,Yes,Yes,82.7,82.7,82.15,13,1,0,Electronic check,0.5744,13.3,Yes
CUST-10158,47,Male,59,Month-to-month,DSL,Yes,Yes,58.72,3561.27,39.7,12,2,0,Bank transfer,0.1546,-0.64,No
CUST-10159,63,Male,27,One year,Fiber optic,Yes,No,70.77,2158.52,61.42,16,1,0,Mailed check,0.054,-10.04,No
CUST-10160,75,Female,11,Month-to-month,Fiber optic,Yes,No,62.18,681.19,49.02,17,3,1,Bank transfer,0.1622,-24.19,Yes
CUST-10161,56,Male,19,One year,Fiber optic,Yes,No,83.15,1689.96,72.09,16,3,0,Mailed check,0.0232,8.41,No
CUST-10162,41,Male,50,Month-to-month,Cable,Yes,No,48.99,2430.66,38.8,20,3,1,Electronic check,0.3235,7.39,Yes
CUST-10163,41,Male,61,Month-to-month,Fiber optic,Yes,Yes,88.07,5421.05,50.11,13,2,2,Bank transfer,0.0701,-23.71,No
CUST-10164,42,Female,42,Month-to-month,DSL,Yes,No,36.52,1307.82,114.62,23,3,1,Electronic check,0.1599,7.6,No
CUST-10165,65,Female,12,Two year,Fiber optic,Yes,Yes,77.09,924.9,80.53,15,3,1,Electronic check,0.2626,11.82,Yes
CUST-10166,36,Female,65,Two year,Fiber optic,Yes,No,72.64,4722.61,74.12,12,1,0,Electronic check,0.2337,-31.67,No
CUST-10167,27,Male,57,Two year,Cable,Yes,No,52.89,2961.36,73.73,17,2,0,Electronic check,0.1839,-10.75,No
CUST-10168,37,Female,30,Two year,Fiber optic,Yes,Yes,68.47,2229.32,100.01,21,0,0,Credit card,0.1013,31.21,No
CUST-10169,19,Male,40,Month-to-month,Cable,Yes,Yes,61.22,2442.63,61.96,17,1,0,Credit card,0.0469,2.27,No
CUST-10170,24,Female,70,Month-to-month,DSL,Yes,Yes,57.24,3988.21,87.48,16,1,0,Electronic check,0.3274,28.95,No
CUST-10171,23,Male,28,Month-to-month,Cable,No,Yes,60.16,1639.71,8.36,17,1,0,Mailed check,0.156,4.32,Yes
CUST-10172,62,Male,2,Two year,DSL,Yes,No,49.14,49.14,62.12,18,2,0,Credit card,0.0216,14.9,No
CUST-10173,59,Male,11,Month-to-month,Cable,Yes,No,58.87,629.83,57.58,16,0,0,Electronic check,0.1227,-1.97,No
CUST-10174,58,Female,44,Month-to-month,Fiber optic,Yes,Yes,81.33,3543.6,52.42,24,1,1,Bank transfer,0.3402,-6.3,Yes
CUST-10175,44,Female,72,One year,Cable,No,No,54.69,3990.0,82.74,18,1,1,Electronic check,0.2738,-17.44,No
CUST-10176,59,Male,54,Month-to-month,Fiber optic,Yes,No,66.76,3671.28,61.77,17,2,0,Credit card,0.0287,8.24,No
CUST-10177,27,Female,45,One year,Fiber optic,Yes,Yes,81.37,3836.5,61.14,17,4,0,Bank transfer,0.0349,-8.43,No
CUST-10178,70,Female,24,Month-to-month,DSL,Yes,Yes,50.76,1164.78,46.18,22,1,1,Electronic check,0.0858,-9.72,No
CUST-10179,47,Male,32,One year,Fiber optic,Yes,Yes,67.73,2046.98,55.55,15,1,1,Electronic check,0.1905,-16.92,No
CUST-10180,72,Female,3,Two year,DSL,Yes,No,46.74,159.4,16.83,11,2,0,Electronic check,0.0781,2.24,No
CUST-10181,26,Female,27,One year,Cable,Yes,Yes,88.74,2418.03,57.43,16,2,0,Bank transfer,0.1931,10.99,No
CUST-10182,46,Male,45,Month-to-month,Cable,No,Yes,58.91,2763.38,31.04,19,1,2,Bank transfer,0.0392,-0.99,No
CUST-10183,58,Female,66,Month-to-month,DSL,No,Yes,56.88,3587.96,102.07,20,5,1,Mailed check,0.0679,-2.03,No
CUST-10184,46,Male,67,Month-to-month,None,Yes,No,44.3,2959.27,82.61,19,2,2,Electronic check,0.1774,20.25,Yes
CUST-10185,43,Female,60,Month-to-month,DSL,Yes,No,47.82,3007.62,86.91,18,1,0,Electronic check,0.1672,-17.46,No
CUST-10186,27,Male,2,One year,Fiber optic,Yes,Yes,89.4,285.19,33.3,13,3,1,Electronic check,0.0981,23.64,No
CUST-10187,40,Female,59,Month-to-month,Cable,Yes,No,61.47,3767.83,85.11,25,0,0,Bank transfer,0.1052,-14.27,No
CUST-10188,31,Male,16,Month-to-month,Fiber optic,Yes,No,77.64,1199.55,48.99,15,3,1,Credit card,0.0316,0.51,No
CUST-10189,35,Female,45,Month-to-month,Fiber optic,Yes,Yes,80.38,3352.3,71.64,18,0,1,Mailed check,0.039,6.38,No
CUST-10190,57,Female,69,Two year,Fiber optic,Yes,Yes,80.77,5602.79,60.52,20,1,1,Credit card,0.1131,13.72,No
CUST-10191,54,Male,64,Month-to-month,Fiber optic,Yes,Yes,88.98,5750.55,31.91,29,1,0,Electronic check,0.16,-17.22,No
CUST-10192,53,Female,48,Month-to-month,Fiber optic,Yes,Yes,75.59,3548.75,40.1,11,1,1,Mailed check,0.1027,3.96,No
CUST-10193,38,Other,22,Month-to-month,Fiber optic,Yes,No,72.33,1633.68,80.82,20,3,1,Credit card,0.1502,-5.4,Yes
CUST-10194,73,Female,38,Month-to-month,DSL,Yes,No,50.67,1939.42,80.06,22,5,0,Electronic check,0.5791,13.91,No
CUST-10195,23,Male,51,Two year,Cable,Yes,No,58.98,2830.58,32.06,19,1,1,Mailed check,0.2223,-5.55,No
CUST-10196,37,Female,38,Month-to-month,None,Yes,Yes,49.91,2020.35,92.28,12,3,2,Credit card,0.0227,-21.28,No
CUST-10197,24,Male,30,One year,Fiber optic,Yes,No,72.38,1989.78,55.84,19,3,4,Credit card,0.0335,6.37,Yes
CUST-10198,37,Male,30,One year,Fiber optic,Yes,Yes,78.59,2442.62,34.23,13,4,1,Bank transfer,0.1327,1.61,No
CUST-10199,73,Female,44,One year,DSL,Yes,Yes,70.89,3011.59,51.82,23,0,0,Electronic check,0.188,23.29,No
CUST-10200,39,Female,3,One year,Fiber optic,Yes,Yes,81.83,266.74,32.47,20,3,1,Credit card,0.1054,13.53,No
CUST-10201,70,Female,72,One year,Fiber optic,Yes,No,65.66,4738.88,47.59,19,4,0,Bank transfer,0.2695,-8.56,No
CUST-10202,46,Male,8,Month-to-month,DSL,No,No,42.19,348.64,53.52,13,3,0,Mailed check,0.2249,13.66,No
