Customer_ID,Age,Gender,Account_Age_Months,Contract_Type,Internet_Service,Phone_Service,Streaming_Service,Monthly_Charges,Total_Charges,Monthly_Usage_GB,Number_of_Sessions,Support_Calls,Complaints,Payment_Method,Payment_Delay_Rate,Usage_Change_Percentage,Churn,Customer_Lifetime_Months,Average_Monthly_Spend,Support_Calls_Per_Month,Service_Count
CUST-10014,59,Male,49,Two year,DSL,Yes,Yes,60.92,2919.65,70.3,24,2,0,Bank transfer,0.0039,7.42,No,49,59.584693877551025,0.04081632653061224,3
CUST-10015,63,Female,62,Month-to-month,Cable,Yes,No,61.31,3619.13,69.33,12,1,1,Bank transfer,0.2098,-4.43,No,62,58.373064516129034,0.016129032258064516,2
CUST-10016,47,Male,54,One year,DSL,Yes,No,47.25,2554.71,88.09,15,2,0,Electronic check,0.2887,5.88,No,54,47.309444444444445,0.037037037037037035,2
CUST-10017,25,Male,45,One year,Cable,Yes,Yes,68.97,3110.44,66.51,15,3,0,Electronic check,0.1225,16.22,No,45,69.12088888888889,0.06666666666666667,3
CUST-10018,66,Female,3,Month-to-month,Fiber optic,Yes,Yes,79.71,357.71,71.75,21,0,0,Bank transfer,0.1525,6.27,No,3,119.23666666666666,0.0,3
CUST-10019,44,Male,43,One year,Fiber optic,Yes,No,81.49,3662.44,109.58,17,0,0,Bank transfer,0.0886,6.94,No,43,85.17302325581396,0.0,2
CUST-10020,47,Male,10,Month-to-month,Cable,No,No,50.25,577.87,27.53,10,1,2,Credit card,0.2734,20.05,Yes,10,57.787,0.1,1
CUST-10021,39,Female,44,Month-to-month,Fiber optic,Yes,Yes,47.82,2218.26,71.21,22,2,1,Electronic check,0.2029,-5.83,No,44,50.415000000000006,0.045454545454545456,3
CUST-10022,28,Male,51,Month-to-month,Cable,Yes,No,53.59,2708.86,64.04,9,1,0,Electronic check,0.3297,-9.82,No,51,53.114901960784316,0.0196078431372549,2
CUST-10023,71,Female,40,Two year,Cable,Yes,Yes,62.68,2610.54,67.96,14,2,1,Mailed check,0.0795,-3.63,No,40,65.2635,0.05,3
CUST-10024,63,Female,23,Month-to-month,Cable,Yes,No,61.23,1446.25,80.73,24,4,0,Electronic check,0.1513,12.11,No,23,62.880434782608695,0.17391304347826086,2
CUST-10025,55,Male,5,Month-to-month,Cable,Yes,No,51.62,498.31,46.79,20,1,1,Mailed check,0.0039,13.5,No,5,99.662,0.2,2
CUST-10026,41,Female,49,Two year,Fiber optic,Yes,No,72.33,3571.7,53.11,15,4,0,Credit card,0.0268,3.94,No,49,72.89183673469387,0.08163265306122448,2
CUST-10027,65,Female,51,Month-to-month,DSL,Yes,No,48.32,2441.95,84.42,18,2,1,Credit card,0.0344,-8.16,No,51,47.8813725490196,0.0392156862745098,2
CUST-10028,49,Female,35,Two year,Cable,Yes,Yes,71.3,2587.63,63.06,22,0,2,Electronic check,0.2109,23.36,No,35,73.93228571428571,0.0,3
CUST-10029,43,Female,52,One year,DSL,Yes,Yes,45.31,2539.01,43.76,19,2,2,Mailed check,0.0262,-11.94,No,52,48.82711538461539,0.038461538461538464,3
CUST-10030,44,Female,57,One year,Cable,Yes,No,68.11,3979.94,85.67,13,2,1,Mailed check,0.0665,-3.5,No,57,69.82350877192982,0.03508771929824561,2
CUST-10031,31,Female,37,One year,DSL,Yes,Yes,47.45,1807.93,81.98,18,5,0,Credit card,0.2771,-6.45,No,37,48.862972972972976,0.13513513513513514,3
CUST-10032,23,Female,4,One year,Fiber optic,Yes,No,82.55,324.71,70.54,20,3,0,Credit card,0.044,14.73,No,4,81.1775,0.75,2
CUST-10033,50,Male,63,Month-to-month,Fiber optic,Yes,Yes,79.54,4905.53,76.57,21,0,0,Bank transfer,0.3383,-0.13,No,63,77.86555555555555,0.0,3
CUST-10034,69,Female,34,Two year,Cable,Yes,Yes,70.6,2542.44,80.23,19,2,0,Electronic check,0.1704,21.74,No,34,74.77764705882353,0.058823529411764705,3
CUST-10035,21,Female,49,Two year,Fiber optic,Yes,No,69.69,3557.16,64.47,15,2,1,Mailed check,0.0928,11.61,No,49,72.59510204081633,0.04081632653061224,2
CUST-10036,67,Female,66,Two year,Cable,Yes,No,58.57,3612.55,74.05,16,2,1,Electronic check,0.0557,-9.17,No,66,54.73560606060607,0.030303030303030304,2
CUST-10037,66,Male,27,One year,Fiber optic,Yes,No,63.33,1607.95,38.01,17,2,1,Bank transfer,0.1751,-1.8,No,27,59.553703703703704,0.07407407407407407,2
CUST-10038,34,Male,45,Month-to-month,DSL,Yes,Yes,63.36,2937.52,61.64,17,3,2,Bank transfer,0.1282,-4.41,No,45,65.27822222222223,0.06666666666666667,3
CUST-10039,54,Female,2,Month-to-month,Cable,Yes,Yes,70.12,80.32,89.75,19,0,1,Credit card,0.053,18.61,No,2,40.16,0.0,3
CUST-10040,27,Female,64,Month-to-month,DSL,Yes,Yes,61.97,4033.28,119.35,12,1,1,Credit card,0.2397,12.15,No,64,63.02,0.015625,3
CUST-10041,61,Male,5,Month-to-month,Cable,Yes,Yes,77.48,268.49,69.56,17,1,0,Credit card,0.1438,-17.03,No,5,53.698,0.2,3
CUST-10042,58,Male,39,One year,Fiber optic,No,No,52.2,1935.45,44.91,18,0,0,Electronic check,0.2562,8.3,No,39,49.62692307692308,0.0,1
CUST-10043,38,Male,26,One year,DSL,Yes,Yes,59.57,1410.96,58.09,22,1,2,Electronic check,0.1568,1.25,No,26,54.26769230769231,0.038461538461538464,3
CUST-10044,21,Female,3,Month-to-month,DSL,Yes,Yes,48.58,132.12,31.76,24,3,0,Electronic check,0.1712,-13.3,Yes,3,44.04,1.0,3
CUST-10045,74,Male,34,Month-to-month,Cable,Yes,No,66.18,2249.81,82.71,18,1,1,Mailed check,0.1636,-7.92,No,34,66.17088235294118,0.029411764705882353,2
CUST-10046,43,Female,68,One year,Fiber optic,Yes,Yes,84.12,5575.17,67.7,20,1,1,Electronic check,0.0524,-0.59,No,68,81.98779411764706,0.014705882352941176,3
CUST-10047,69,Male,13,Month-to-month,Fiber optic,Yes,Yes,77.35,881.7,43.66,16,0,2,Mailed check,0.0336,-24.56,Yes,13,67.82307692307693,0.0,3
CUST-10048,57,Male,22,Two year,Cable,Yes,No,64.22,1361.22,62.01,28,3,0,Electronic check,0.3172,4.66,No,22,61.873636363636365,0.13636363636363635,2
CUST-10049,63,Male,14,One year,Fiber optic,Yes,No,39.5,511.49,83.53,20,2,2,Mailed check,0.1095,3.02,No,14,36.535000000000004,0.14285714285714285,2
CUST-10050,62,Female,9,Month-to-month,Cable,Yes,Yes,56.61,416.59,67.82,15,1,2,Bank transfer,0.2261,-1.05,No,9,46.28777777777778,0.1111111111111111,3
CUST-10051,29,Female,17,Month-to-month,Cable,Yes,No,62.6,1135.71,50.08,9,3,0,Credit card,0.3559,2.43,Yes,17,66.8064705882353,0.17647058823529413,2
CUST-10052,39,Female,42,One year,DSL,Yes,No,44.01,1797.67,91.15,23,2,0,Credit card,0.0278,-0.71,No,42,42.80166666666667,0.047619047619047616,2
CUST-10053,45,Female,57,Month-to-month,DSL,Yes,Yes,60.11,3444.41,74.85,22,1,0,Credit card,0.1211,-11.49,No,57,60.428245614035085,0.017543859649122806,3
CUST-10054,46,Male,50,Two year,Cable,Yes,Yes,73.58,3728.18,48.24,22,1,0,Credit card,0.1004,-5.69,No,50,74.5636,0.02,3
CUST-10055,20,Female,56,Month-to-month,Cable,Yes,No,58.34,3159.24,67.21,20,2,0,Electronic check,0.0852,-7.32,No,56,56.415,0.03571428571428571,2
CUST-10056,49,Male,52,Month-to-month,Cable,No,Yes,58.54,3107.09,15.86,22,2,1,Mailed check,0.1393,9.56,No,52,59.751730769230775,0.038461538461538464,2
CUST-10057,26,Male,28,Month-to-month,Cable,No,No,59.95,1697.23,72.84,25,2,0,Credit card,0.1825,-10.79,No,28,60.61535714285714,0.07142857142857142,1
CUST-10058,61,Male,65,One year,Cable,Yes,Yes,68.24,4445.41,120.93070000000002,19,2,0,Electronic check,0.0903,-4.63,No,65,68.39092307692307,0.03076923076923077,3
CUST-10059,57,Male,13,Two year,Fiber optic,No,Yes,69.2,798.29,92.79,13,2,2,Electronic check,0.2705,2.32,Yes,13,61.40692307692307,0.15384615384615385,2
CUST-10060,71,Female,51,Two year,Fiber optic,Yes,No,58.92,3113.46,62.49,16,3,0,Bank transfer,0.222,-16.29,No,51,61.048235294117646,0.058823529411764705,2
CUST-10061,61,Female,8,Month-to-month,Fiber optic,Yes,No,36.17,91.89,72.49,19,0,0,Mailed check,0.2715,-3.47,No,8,11.48625,0.0,2
CUST-10062,39,Female,56,Two year,DSL,Yes,Yes,63.89,3560.67,79.58,13,0,1,Credit card,0.091,2.28,No,56,63.58339285714286,0.0,3
CUST-10063,74,Female,7,Month-to-month,Fiber optic,Yes,Yes,89.46,523.7,81.13,19,2,2,Electronic check,0.1242,3.85,No,7,74.81428571428572,0.2857142857142857,3
CUST-10064,41,Female,16,One year,DSL,Yes,No,39.06,573.3,63.69,25,3,0,Credit card,0.1526,6.06,No,16,35.83125,0.1875,2
CUST-10065,36,Male,29,Two year,DSL,Yes,No,53.14,1370.78,14.17,15,1,0,Electronic check,0.2531,-7.28,No,29,47.26827586206896,0.034482758620689655,2
CUST-10066,70,Male,51,Month-to-month,Cable,Yes,Yes,71.82,3576.27,58.08,21,0,0,Electronic check,0.1881,-11.26,No,51,70.12294117647059,0.0,3
CUST-10067,39,Male,4,Two year,Cable,Yes,Yes,64.04,121.58,52.11,22,3,0,Credit card,0.0645,-3.75,No,4,30.395,0.75,3
CUST-10068,22,Female,19,Month-to-month,Fiber optic,Yes,No,81.62,1369.48,64.05,14,3,0,Electronic check,0.0973,4.19,Yes,19,72.07789473684211,0.15789473684210525,2
CUST-10069,45,Other,25,Month-to-month,DSL,Yes,Yes,53.13,1390.03,48.44,13,1,0,Bank transfer,0.012,-1.62,No,25,55.6012,0.04,3
CUST-10070,64,Male,53,Month-to-month,Fiber optic,Yes,Yes,89.99160000000003,4778.91,80.99,19,2,0,Electronic check,0.1652,-11.54,No,53,90.16811320754717,0.03773584905660377,3
CUST-10071,28,Female,70,Two year,Cable,No,Yes,59.97,4171.29,115.09,19,1,0,Electronic check,0.3439,28.44,No,70,59.58985714285714,0.014285714285714285,2
CUST-10072,44,Female,45,Month-to-month,Fiber optic,Yes,Yes,84.39,3838.95,89.84,16,1,1,Electronic check,0.3784,-7.62,No,45,85.31,0.022222222222222223,3
CUST-10073,25,Female,37,One year,DSL,Yes,No,47.15,1776.59,64.76,22,5,0,Electronic check,0.0731,-14.05,No,37,48.015945945945944,0.13513513513513514,2
CUST-10074,57,Female,25,Month-to-month,DSL,Yes,Yes,48.26,1186.87,102.76,24,1,0,Bank transfer,0.092,-6.46,No,25,47.474799999999995,0.04,3
CUST-10075,45,Female,60,One year,DSL,No,No,41.28,2392.09,89.05,19,0,1,Mailed check,0.0439,12.36,No,60,39.86816666666667,0.0,1
CUST-10076,37,Female,8,Month-to-month,DSL,Yes,Yes,63.53,458.93,83.9,12,0,0,Electronic check,0.1141,8.83,No,8,57.36625,0.0,3
CUST-10077,31,Female,10,Month-to-month,Cable,Yes,Yes,63.21,652.63,52.65,21,0,3,Mailed check,0.2058,23.41,No,10,65.263,0.0,3
CUST-10078,50,Male,15,One year,DSL,Yes,No,48.04,844.66,62.9,21,2,0,Credit card,0.2396,-10.14,No,15,56.31066666666666,0.13333333333333333,2
CUST-10079,56,Female,20,One year,Fiber optic,Yes,No,70.58,1130.57,80.42,14,2,0,Electronic check,0.2575,-1.63,No,20,56.528499999999994,0.1,2
CUST-10080,72,Male,34,Month-to-month,Fiber optic,Yes,Yes,68.37,2369.71,118.14,25,1,2,Electronic check,0.1494,14.16,No,34,69.69735294117648,0.029411764705882353,3
CUST-10081,43,Female,69,Month-to-month,DSL,Yes,Yes,57.01,3789.1,100.88,21,2,0,Electronic check,0.1863,-10.59,No,69,54.914492753623186,0.028985507246376812,3
CUST-10082,27,Male,47,Month-to-month,Fiber optic,Yes,No,71.47,3295.07,80.6,23,0,0,Credit card,0.048,15.91,No,47,70.10787234042553,0.0,2
CUST-10083,66,Male,28,Two year,Cable,Yes,No,54.29,1492.27,70.24,27,3,0,Credit card,0.1187,2.42,No,28,53.29535714285714,0.10714285714285714,2
CUST-10084,54,Male,16,One year,Fiber optic,No,No,70.68,1115.49,84.69,19,0,1,Electronic check,0.1575,-7.58,No,16,69.718125,0.0,1
CUST-10085,58,Male,47,One year,Cable,Yes,No,59.58,2722.67,79.21,23,2,0,Electronic check,0.4702,-18.59,No,47,57.929148936170215,0.0425531914893617,2
CUST-10086,23,Male,19,One year,Fiber optic,No,Yes,56.07,1201.12,103.16,18,4,0,Electronic check,0.0503,8.27,No,19,63.216842105263154,0.21052631578947367,2
CUST-10087,36,Male,71,Two year,Cable,Yes,No,54.42,3929.59,40.12,20,0,0,Credit card,0.2052,19.72,No,71,55.346338028169015,0.0,2
CUST-10088,62,Male,35,Month-to-month,Fiber optic,Yes,Yes,74.14,2537.96,67.21,12,1,0,Electronic check,0.0701,6.08,No,35,72.51314285714285,0.02857142857142857,3
CUST-10089,66,Male,40,Month-to-month,DSL,Yes,Yes,53.0,2307.24,84.61,22,5,0,Bank transfer,0.1938,6.76,No,40,57.681,0.125,3
CUST-10090,43,Female,66,One year,Fiber optic,Yes,No,80.76,5242.3,100.61,25,1,0,Credit card,0.0073,5.16,No,66,79.42878787878789,0.015151515151515152,2
CUST-10091,64,Female,22,Month-to-month,DSL,Yes,Yes,63.37,1298.6,113.28,15,1,0,Credit card,0.2526,13.07,No,22,59.027272727272724,0.045454545454545456,3
CUST-10092,66,Female,34,Month-to-month,Fiber optic,Yes,Yes,76.33,2605.15,31.44,10,0,0,Electronic check,0.138,16.72,No,34,76.62205882352941,0.0,3
CUST-10093,40,Male,39,One year,Cable,Yes,Yes,63.71,2412.35,49.21,21,1,0,Bank transfer,0.355,-32.61,No,39,61.8551282051282,0.02564102564102564,3
CUST-10094,70,Male,20,Two year,DSL,Yes,No,47.77,1000.35,64.78,16,1,1,Bank transfer,0.1099,-1.84,No,20,50.0175,0.05,2
CUST-10095,34,Female,4,One year,Fiber optic,Yes,No,31.91,89.05,36.71,28,2,1,Credit card,0.0056,-5.42,No,4,22.2625,0.5,2
CUST-10096,31,Male,21,Month-to-month,Cable,Yes,No,53.12,1152.31,106.45,20,0,1,Bank transfer,0.2142,4.26,No,21,54.87190476190476,0.0,2
CUST-10097,57,Male,9,Two year,DSL,Yes,Yes,62.54,452.31,69.45,26,2,0,Bank transfer,0.0426,-2.76,No,9,50.25666666666667,0.2222222222222222,3
CUST-10098,54,Female,49,Month-to-month,Cable,Yes,Yes,52.55,2788.85,94.64,17,1,1,Electronic check,0.0492,7.34,No,49,56.915306122448975,0.02040816326530612,3
CUST-10099,26,Female,1,Month-to-month,Fiber optic,Yes,No,73.63,73.63,62.23,23,2,0,Credit card,0.0235,6.01,No,1,73.63,2.0,2
CUST-10100,66,Male,23,Two year,DSL,Yes,No,39.32,1073.27,76.28,20,3,0,Credit card,0.302,-20.99,No,23,46.66391304347826,0.13043478260869565,2
CUST-10101,29,Female,64,One year,DSL,No,No,45.58,2751.97,33.75,18,2,2,Credit card,0.431,-24.12,No,64,42.99953125,0.03125,1
CUST-10102,64,Male,41,Two year,Cable,Yes,Yes,74.46,3265.55,41.07,19,0,0,Credit card,0.0733,11.08,No,41,79.64756097560976,0.0,3
CUST-10103,18,Female,49,One year,Fiber optic,No,Yes,63.71,3103.43,41.52,28,2,0,Mailed check,0.3786,-7.97,No,49,63.335306122448976,0.04081632653061224,2
CUST-10104,64,Male,49,One year,DSL,Yes,Yes,53.88,2608.84,25.38,17,2,0,Mailed check,0.1369,22.62,No,49,53.24163265306123,0.04081632653061224,3
CUST-10105,63,Male,22,Month-to-month,Cable,Yes,No,64.82,1119.5,91.11,19,1,0,Electronic check,0.5149,12.23,No,22,50.88636363636363,0.045454545454545456,2
CUST-10106,63,Female,46,Month-to-month,DSL,Yes,No,47.81,2036.74,66.13,16,2,0,Electronic check,0.494,-19.45,No,46,44.27695652173913,0.043478260869565216,2
CUST-10107,56,Male,16,Two year,Fiber optic,Yes,No,64.53,913.18,91.86,20,3,2,Mailed check,0.1911,-7.57,No,16,57.07375,0.1875,2
CUST-10108,45,Female,46,Two year,DSL,Yes,Yes,53.93,2342.52,63.69,22,0,0,Credit card,0.0445,4.88,No,46,50.92434782608696,0.0,3
CUST-10109,58,Male,50,Month-to-month,Cable,Yes,Yes,83.92,4266.09,93.51,16,2,1,Mailed check,0.4626,-3.35,No,50,85.3218,0.04,3
CUST-10110,34,Female,64,Month-to-month,Fiber optic,No,No,58.53,3687.94,89.35,15,5,0,Bank transfer,0.184,-0.08,No,64,57.6240625,0.078125,1
CUST-10111,63,Female,67,Month-to-month,Fiber optic,Yes,Yes,82.55,5525.54,63.54,20,4,0,Mailed check,0.2413,-11.3,No,67,82.47074626865671,0.05970149253731343,3
CUST-10112,50,Female,2,Month-to-month,Fiber optic,Yes,No,40.56,99.65,71.23,12,1,1,Electronic check,0.0428,6.15,No,2,49.825,0.5,2
CUST-10113,44,Female,22,Two year,Fiber optic,Yes,No,46.95,644.58,74.93,15,1,0,Bank transfer,0.0582,2.24,No,22,29.29909090909091,0.045454545454545456,2
CUST-10114,47,Male,40,Month-to-month,Fiber optic,Yes,Yes,89.99160000000003,3659.62,93.24,23,1,1,Bank transfer,0.042,11.07,No,40,91.4905,0.025,3
CUST-10115,50,Female,24,Month-to-month,DSL,Yes,Yes,45.83,1341.61,65.69,16,1,1,Electronic check,0.0424,1.42,Yes,24,55.900416666666665,0.041666666666666664,3
CUST-10116,20,Male,45,Two year,Fiber optic,Yes,Yes,89.16,4134.87,75.04,17,3,0,Electronic check,0.099,-5.54,No,45,91.886,0.06666666666666667,3
CUST-10117,26,Female,62,Month-to-month,Fiber optic,Yes,No,36.98,2343.81,31.04,16,2,0,Electronic check,0.0626,3.64,Yes,62,37.803387096774195,0.03225806451612903,2
CUST-10118,32,Female,19,Month-to-month,DSL,Yes,Yes,51.81,994.93,45.31,26,3,1,Electronic check,0.1486,6.35,No,19,52.36473684210526,0.15789473684210525,3
CUST-10119,24,Female,65,Month-to-month,DSL,Yes,Yes,65.85,4445.35,48.84,15,3,0,Mailed check,0.4248,2.02,No,65,68.39,0.046153846153846156,3
CUST-10120,43,Female,64,Month-to-month,Fiber optic,Yes,Yes,72.68,4717.18,78.86,21,0,0,Mailed check,0.0241,16.74,No,64,73.7059375,0.0,3
CUST-10121,56,Female,66,Month-to-month,DSL,Yes,No,59.06,3873.54,49.56,25,2,3,Mailed check,0.0586,-11.03,No,66,58.69,0.030303030303030304,2
CUST-10122,55,Male,6,Month-to-month,Fiber optic,No,No,59.33,393.6,69.18,27,1,0,Mailed check,0.0528,12.9,No,6,65.60000000000001,0.16666666666666666,1
CUST-10123,45,Female,22,Month-to-month,Cable,Yes,No,65.54,1533.8,62.5,15,1,0,Credit card,0.057,-12.63,No,22,69.71818181818182,0.045454545454545456,2
CUST-10124,67,Female,9,Month-to-month,DSL,Yes,No,55.19,642.45,66.51,21,0,0,Mailed check,0.0754,9.84,No,9,71.38333333333334,0.0,2
CUST-10125,50,Male,9,Month-to-month,DSL,No,Yes,42.55,209.1,87.27,14,4,1,Electronic check,0.1272,-22.66,No,9,23.233333333333334,0.4444444444444444,2
CUST-10126,22,Female,4,Month-to-month,Cable,Yes,Yes,57.13,238.88,70.37,15,1,0,Electronic check,0.0702,-1.59,No,4,59.72,0.25,3
CUST-10127,62,Male,32,Two year,Fiber optic,Yes,No,71.18,2389.02,60.43,18,1,1,Mailed check,0.075,13.44,No,32,74.656875,0.03125,2
CUST-10128,51,Male,7,Month-to-month,Fiber optic,Yes,No,66.6,390.99,76.1,16,4,0,Bank transfer,0.1199,-2.97,Yes,7,55.855714285714285,0.5714285714285714,2
CUST-10129,54,Male,22,Month-to-month,DSL,Yes,No,54.64,1173.56,105.2,12,1,0,Credit card,0.1655,0.75,No,22,53.343636363636364,0.045454545454545456,2
CUST-10130,50,Male,71,Two year,Cable,Yes,Yes,65.36,4832.83,67.68,21,1,0,Bank transfer,0.2569,5.16,No,71,68.06802816901408,0.014084507042253521,3
CUST-10131,50,Female,64,Month-to-month,Fiber optic,Yes,No,63.92,4114.04,35.63,25,1,0,Electronic check,0.144,-26.05,No,64,64.281875,0.015625,2
CUST-10132,23,Female,68,Month-to-month,Cable,Yes,Yes,69.42,4625.78,33.43,18,2,0,Electronic check,0.4742,5.38,No,68,68.02617647058823,0.029411764705882353,3
CUST-10133,50,Female,3,Two year,DSL,Yes,No,35.48,57.8244,58.27,21,0,2,Credit card,0.3466,-9.65,No,3,19.2748,0.0,2
CUST-10134,64,Female,48,Month-to-month,DSL,Yes,No,40.7,1935.23,37.63,19,2,1,Bank transfer,0.256,13.07,No,48,40.31729166666667,0.041666666666666664,2
CUST-10135,35,Male,46,Month-to-month,DSL,Yes,No,42.74,1890.57,7.59,17,2,0,Bank transfer,0.2521,0.51,No,46,41.099347826086955,0.043478260869565216,2
CUST-10136,52,Male,10,One year,Fiber optic,Yes,No,53.23,678.55,57.98,14,2,0,Credit card,0.0041,4.92,No,10,67.85499999999999,0.2,2
CUST-10137,19,Male,66,One year,Fiber optic,Yes,No,72.54,4694.13,74.14,16,2,0,Bank transfer,0.216,-12.66,No,66,71.12318181818182,0.030303030303030304,2
CUST-10138,38,Female,30,Month-to-month,Cable,Yes,No,52.02,1663.01,98.21,24,2,0,Bank transfer,0.3716,11.15,No,30,55.43366666666667,0.06666666666666667,2
CUST-10139,43,Male,71,Month-to-month,DSL,Yes,No,51.65,3659.56,64.58,18,2,1,Credit card,0.1467,1.16,No,71,51.543098591549295,0.028169014084507043,2
CUST-10140,74,Female,9,Month-to-month,DSL,Yes,Yes,64.22,518.28,72.44,22,3,0,Bank transfer,0.2035,-16.62,Yes,9,57.586666666666666,0.3333333333333333,3
CUST-10141,30,Female,47,Two year,Fiber optic,Yes,Yes,53.87,2492.43,77.38,18,0,0,Mailed check,0.026,-4.69,No,47,53.030425531914894,0.0,3
CUST-10142,34,Female,10,Month-to-month,Fiber optic,Yes,No,75.59,901.71,66.99,20,1,1,Bank transfer,0.0141,9.45,No,10,90.171,0.1,2
CUST-10143,41,Female,69,Month-to-month,DSL,Yes,No,38.78,2766.2,48.98,17,4,0,Mailed check,0.0972,2.99,Yes,69,40.08985507246376,0.057971014492753624,2
CUST-10144,75,Male,44,Month-to-month,Fiber optic,Yes,No,63.68,2824.04,117.11,20,1,0,Credit card,0.0331,9.89,No,44,64.18272727272728,0.022727272727272728,2
CUST-10145,67,Female,6,Two year,Fiber optic,Yes,Yes,66.83,323.61,41.28,19,1,1,Mailed check,0.1007,-3.0,No,6,53.935,0.16666666666666666,3
CUST-10146,20,Female,16,Month-to-month,Fiber optic,Yes,Yes,38.58,701.43,74.99,17,0,1,Credit card,0.0448,15.89,No,16,43.839375,0.0,3
CUST-10147,31,Female,26,Month-to-month,Fiber optic,Yes,Yes,55.26,1446.88,46.28,18,5,2,Bank transfer,0.3881,18.27,No,26,55.649230769230776,0.19230769230769232,3
CUST-10148,65,Female,1,Month-to-month,Fiber optic,Yes,No,72.09,72.09,67.71,15,0,0,Bank transfer,0.0465,-19.7,No,1,72.09,0.0,2
CUST-10149,21,Female,1,One year,Fiber optic,No,Yes,43.96,57.8244,74.83,17,2,0,Bank transfer,0.1071,8.42,No,1,57.8244,2.0,2
CUST-10150,67,Other,67,Month-to-month,Fiber optic,Yes,Yes,69.65,4594.28,60.15,15,3,0,Electronic check,0.6686,19.51,No,67,68.57134328358208,0.04477611940298507,3
CUST-10151,34,Male,71,Two year,Fiber optic,Yes,Yes,43.56,2959.73,35.88,16,5,0,Electronic check,0.0902,7.09,No,71,41.68633802816901,0.07042253521126761,3
CUST-10152,71,Female,39,Month-to-month,Cable,Yes,No,62.18,2322.62,56.66,20,2,0,Electronic check,0.1511,0.85,No,39,59.55435897435897,0.05128205128205128,2
CUST-10153,35,Female,65,Month-to-month,Fiber optic,Yes,Yes,71.95,4996.91,91.98,14,1,0,Credit card,0.095,-14.55,No,65,76.87553846153845,0.015384615384615385,3
CUST-10154,43,Male,48,Month-to-month,DSL,Yes,No,48.43,2101.26,28.95,15,4,1,Electronic check,0.0944,-2.38,No,48,43.776250000000005,0.08333333333333333,2
CUST-10155,56,Female,3,Month-to-month,Cable,Yes,Yes,73.62,324.0,104.14,22,1,0,Bank transfer,0.1606,-4.76,No,3,108.0,0.3333333333333333,3
CUST-10156,25,Male,52,Month-to-month,Fiber optic,Yes,Yes,86.01,4528.74,67.28,20,2,1,Electronic check,0.1277,11.92,No,52,87.09115384615384,0.038461538461538464,3
CUST-10157,50,Female,2,One year,Fiber optic,Yes,Yes,82.7,82.7,82.15,13,1,0,Electronic check,0.5744,13.3,Yes,2,41.35,0.5,3
